Username,password,Top Score,Diffculty,Time,Top Score,Diffculty,Time,Top Score,Diffculty,Time
1qw,123,110,EASY,2024-02-16 08:05:18,10,NORAML,2024-02-16 08:12:52,80,DIFFCULT,2024-02-16 08:10:43,110,EASY,0,DIFFCULT,0,DIFFCULT,80,DIFFCULT,10,NORMAL,30,EASY,20,DIFFCULT,
zcx,Zc873178,10,EASY,2024-02-20 07:10:30,750,NORAML,2024-02-20 07:36:24,110,DIFFCULT,2024-02-20 07:07:03,110,DIFFCULT,10,EASY,750,NORMAL,
zxc,Zc873178,70,EASY,2024-02-20 08:56:47,10,NORAML,2024-02-20 09:01:05,90,DIFFCULT,2024-02-16 08:37:13,0,DIFFCULT,90,DIFFCULT,70,EASY,10,NORMAL,0,DIFFCULT,
wqe,123456,710,EASY,2024-02-27 13:22:24,,NORAML,,20,DIFFCULT,2024-02-27 12:59:09,110,DIFFCULT,220,DIFFCULT,20,DIFFCULT,710,EASY,
rty,123456,,EASY,,,NORAML,,50,DIFFCULT,2024-02-20 09:39:46,50,DIFFCULT,
tyu,123456789,,EASY,,,NORAML,,30,DIFFCULT,2024-02-20 09:45:43,0,DIFFCULT,30,DIFFCULT,20,DIFFCULT,
fgh,123456,,EASY,,,NORAML,,260,DIFFCULT,2024-02-20 10:02:47,260,DIFFCULT,
cbv,asdfghj,,EASY,,,NORAML,,30,DIFFCULT,2024-02-20 10:08:47,0,DIFFCULT,30,DIFFCULT,
uio,123456,660,EASY,2024-02-26 13:29:18,,NORAML,,120,DIFFCULT,2024-02-26 13:36:56,0,DIFFCULT,30,DIFFCULT,660,EASY,60,DIFFCULT,120,DIFFCULT,
uhb,123456,,EASY,,,NORAML,,80,DIFFCULT,2024-02-29 09:28:35,80,DIFFCULT,
ygv,1234567,,EASY,,,NORMAL,,,DIFFCULT,,
ijn,12567,180,EASY,2024-02-25 08:13:23,50,NORAML,2024-02-29 12:00:25,70,DIFFCULT,2024-02-25 08:04:18,70,DIFFCULT,180,EASY,50,NORMAL,
USB,123456,,EASY,,,NORMAL,,,DIFFCULT,,
pol,123456,,EASY,,,NORMAL,,,DIFFCULT,,
1rt,123456,,EASY,,,NORMAL,,,DIFFCULT,,
wrt,123456,,EASY,,,NORMAL,,,DIFFCULT,,
qww,12wdcf,,EASY,,,NORMAL,,,DIFFCULT,,
okm,56789,,EASY,,,NORMAL,,,DIFFCULT,,
plk,123457,,EASY,,,NORMAL,,,DIFFCULT,,
pok,124567,,EASY,,,NORMAL,,,DIFFCULT,,
edc,1234567,,EASY,,,NORMAL,,,DIFFCULT,,
plm,123456,,EASY,,,NORMAL,,,DIFFCULT,,
asx,123456,,EASY,,,NORMAL,,,DIFFCULT,,

